Unnamed: 0,district,year,crop,germ_temp,veg_temp,flow_temp,fruit_temp,germ_rh,veg_rh,flow_rh,fruit_rh,germ_prec,veg_prec,flow_prec,fruit_prec,n__g/kg,soc__g/kg,soil_ph,kg/acre
0,attock,1981,maize,17.29,25.42,31.63,36.22,58.97,43.16,32.49,17.88,139.91,44.09,38.03,21.77,1.538567,16.76787,7.54444,444.534413
3,attock,1982,maize,14.47,22.55,26.37,32.66,70.62,59.1,58.2,36.26,112.51,153.08,89.0,15.01,1.538567,16.76787,7.54444,436.8421053
6,attock,1983,maize,16.15,20.6,27.58,32.44,51.31,61.8,53.09,34.13,87.07,250.12,59.68,32.39,1.538567,16.76787,7.54444,451.0121457
9,attock,1984,maize,21.19,25.17,34.26,37.32,41.6,41.09,15.47,22.36,53.31,35.78,2.24,34.25,1.538567,16.76787,7.54444,446.5587045
12,attock,1985,maize,21.62,25.66,32.0,36.56,26.45,41.04,21.8,16.81,33.17,49.84,25.84,2.24,1.538567,16.76787,7.54444,411.3360324
15,attock,1986,maize,16.07,23.78,29.27,35.22,59.81,47.55,35.7,24.22,130.69,44.6,63.72,29.27,1.538567,16.76787,7.54444,453.4412955
18,attock,1987,maize,18.25,24.98,27.29,34.76,59.9,42.16,43.44,23.91,115.81,12.04,64.61,15.27,1.538567,16.76787,7.54444,392.3076923
21,attock,1988,maize,17.79,26.67,33.6,36.22,52.23,37.48,16.21,21.57,153.85,13.11,5.48,34.62,1.538567,16.76787,7.54444,439.2712551
24,attock,1989,maize,18.47,23.79,31.61,34.98,48.19,30.81,16.88,21.86,53.35,12.77,7.22,23.8,1.538567,16.76787,7.54444,439.6761134
27,attock,1990,maize,17.2,23.83,33.0,36.78,51.75,44.64,27.48,20.26,85.59,33.32,14.38,8.52,1.538567,16.76787,7.54444,482.5910931
30,attock,1991,maize,19.3,24.08,31.31,36.42,41.2,34.69,20.07,14.71,21.17,27.97,2.91,1.66,1.538567,16.76787,7.54444,440.0809717
