district,year,crop,germ_temp,veg_temp,flow_temp,fruit_temp,germ_rh,veg_rh,flow_rh,fruit_rh,germ_prec,veg_prec,flow_prec,fruit_prec,n__g/kg,soc__g/kg,soil_ph,kg/acre
attock,1981,rice,36.22,33.65,30.48,28.88,17.88,50.79,65.07,52.33,21.77,144.05,135.21,12.79,1.538567,16.76787,7.54444,0.0
attock,1982,rice,32.66,35.98,32.43,30.65,36.26,31.02,52.64,23.44,15.01,33.53,87.22,6.98,1.538567,16.76787,7.54444,0.0
attock,1983,rice,32.44,34.2,30.97,28.7,34.13,39.48,63.55,56.73,32.39,61.77,215.8,42.72,1.538567,16.76787,7.54444,0.0
attock,1984,rice,37.32,32.39,30.96,26.86,22.36,53.92,65.28,60.04,34.25,177.95,70.45,111.3,1.538567,16.76787,7.54444,0.0
attock,1985,rice,36.56,33.43,31.07,30.28,16.81,48.98,61.65,36.61,2.24,107.52,122.26,5.82,1.538567,16.76787,7.54444,0.0
attock,1986,rice,35.22,34.29,31.08,28.64,24.22,41.54,56.55,44.1,29.27,32.57,132.18,45.38,1.538567,16.76787,7.54444,0.0
attock,1987,rice,34.76,36.88,34.57,32.5,23.91,23.99,35.77,25.48,15.27,9.75,35.35,7.47,1.538567,16.76787,7.54444,0.0
attock,1988,rice,36.22,33.58,32.19,30.87,21.57,52.93,51.96,36.22,34.62,71.37,56.86,19.95,1.538567,16.76787,7.54444,0.0
attock,1989,rice,34.98,33.52,30.55,29.7,21.86,43.91,55.91,38.6,23.8,106.67,91.87,21.21,1.538567,16.76787,7.54444,0.0
attock,1990,rice,36.78,34.45,32.66,29.59,20.26,42.23,52.2,53.41,8.52,54.67,80.73,74.06,1.538567,16.76787,7.54444,0.0
attock,1991,rice,36.42,36.38,33.11,29.62,14.71,27.89,43.97,42.82,1.66,35.77,58.43,39.15,1.538567,16.76787,7.54444,0.0
attock,1992,rice,34.86,33.71,31.25,27.61,20.76,39.56,56.64,52.86,5.44,43.99,117.51,51.43,1.538567,16.76787,7.54444,0.0
attock,1993,rice,34.85,33.09,33.13,29.82,27.4,45.79,39.06,39.47,49.93,79.45,39.33,35.38,1.538567,16.76787,7.54444,0.0
attock,1994,rice,36.56,33.61,30.84,27.6,21.37,52.34,64.97,49.24,17.72,112.11,132.69,31.08,1.538567,16.76787,7.54444,0.0
attock,1995,rice,35.68,32.74,29.19,27.81,22.62,51.69,72.87,54.71,7.53,234.71,142.1,54.36,1.538567,16.76787,7.54444,0.0
attock,1996,rice,33.91,34.15,30.52,28.82,33.48,39.34,58.64,49.59,46.0,61.71,219.01,58.25,1.538567,16.76787,7.54444,0.0
attock,1997,rice,35.21,37.1,34.11,31.52,24.08,31.62,35.98,27.59,9.78,22.73,8.49,5.81,1.538567,16.76787,7.54444,0.0
attock,1998,rice,34.57,35.31,33.69,31.73,24.93,40.05,42.43,29.83,33.5,60.17,63.71,7.52,1.538567,16.76787,7.54444,0.0
attock,1999,rice,36.16,35.84,34.22,31.84,17.56,33.43,37.34,30.87,6.84,45.6,44.72,29.11,1.538567,16.76787,7.54444,0.0
attock,2000,rice,36.07,35.23,34.37,30.69,21.89,36.26,33.66,34.31,8.14,21.57,31.88,46.02,1.538567,16.76787,7.54444,0.0
attock,2001,rice,34.11,33.83,33.35,30.18,37.23,48.99,44.84,33.79,58.39,57.33,56.2,7.24,1.538567,16.76787,7.54444,0.0
attock,2002,rice,35.54,36.42,33.99,29.53,25.65,23.19,39.68,37.46,55.86,26.27,43.24,15.1,1.538567,16.76787,7.54444,0.0
attock,2003,rice,36.04,33.08,31.31,29.85,23.42,52.71,57.44,48.28,35.17,99.3,68.94,47.56,1.538567,16.76787,7.54444,0.0
attock,2004,rice,35.73,35.21,32.62,31.11,25.11,35.29,49.68,35.58,18.84,57.54,60.97,21.77,1.538567,16.76787,7.54444,0.0
attock,2005,rice,36.41,34.19,33.21,30.42,19.63,45.26,45.77,46.63,5.77,53.31,55.49,45.07,1.538567,16.76787,7.54444,0.0
attock,2006,rice,34.56,32.5,29.11,28.24,26.5,58.79,72.2,57.67,19.0,237.87,119.29,34.3,1.538567,16.76787,7.54444,0.0
attock,2007,rice,35.28,32.18,31.04,28.53,32.57,58.64,63.73,56.83,85.7,147.26,94.36,96.13,1.538567,16.76787,7.54444,0.0
