district,year,crop,germ_temp,veg_temp,flow_temp,fruit_temp,germ_rh,veg_rh,flow_rh,fruit_rh,germ_prec,veg_prec,flow_prec,fruit_prec,n__g/kg,soc__g/kg,soil_ph,kg/acre
attock,1981,wheat,19.43,13.58,11.05,13.9,54.34,63.23,56.6,55.31,14.34,34.45,92.56,58.41,1.538567,16.76787,7.54444,331.57894736842104
attock,1982,wheat,18.05,13.87,11.85,10.37,29.82,35.65,43.78,60.83,10.91,8.13,23.17,222.06,1.538567,16.76787,7.54444,402.0242914979757
attock,1983,wheat,18.19,11.68,10.73,13.05,38.99,53.58,49.26,50.46,55.39,40.42,37.51,28.24,1.538567,16.76787,7.54444,351.8218623481781
attock,1984,wheat,18.36,13.3,10.95,10.79,22.7,33.3,32.85,45.32,1.61,1.68,4.15,40.01,1.538567,16.76787,7.54444,373.6842105263158
attock,1985,wheat,17.59,11.72,10.76,15.5,32.51,37.92,48.24,26.25,9.7,13.73,5.94,7.03,1.538567,16.76787,7.54444,535.6275303643724
attock,1986,wheat,18.63,13.24,10.61,12.58,26.98,47.53,44.12,54.4,6.37,102.11,16.12,79.78,1.538567,16.76787,7.54444,432.79352226720647
attock,1987,wheat,18.44,12.14,12.64,14.59,36.85,49.18,44.83,52.59,76.44,44.16,1.48,58.4,1.538567,16.76787,7.54444,344.9392712550607
attock,1988,wheat,19.99,15.28,13.53,15.46,15.21,19.69,42.05,37.36,0.0,3.59,18.74,20.23,1.538567,16.76787,7.54444,446.1538461538461
attock,1989,wheat,19.54,14.76,10.53,12.53,17.49,38.68,46.64,45.74,0.42,42.0,38.82,12.95,1.538567,16.76787,7.54444,495.5465587044534
attock,1990,wheat,18.48,13.75,12.84,13.03,24.88,43.85,54.1,57.56,4.42,38.6,38.59,88.26,1.538567,16.76787,7.54444,551.8218623481781
attock,1991,wheat,19.25,12.86,11.24,13.0,28.13,42.54,46.65,46.46,7.19,43.09,1.36,22.17,1.538567,16.76787,7.54444,563.5627530364372
attock,1992,wheat,18.37,14.36,12.16,12.76,22.98,44.54,53.85,53.97,2.53,12.72,93.85,70.66,1.538567,16.76787,7.54444,523.8866396761133
attock,1993,wheat,18.24,14.47,10.23,15.92,30.85,46.3,50.91,42.23,20.36,20.68,25.77,22.33,1.538567,16.76787,7.54444,440.89068825910925
attock,1994,wheat,19.49,15.39,12.44,12.32,24.14,18.31,42.94,49.59,8.47,0.0,22.55,43.84,1.538567,16.76787,7.54444,491.497975708502
attock,1995,wheat,19.38,12.51,10.97,13.65,35.17,46.38,45.61,49.51,0.93,44.22,25.56,66.9,1.538567,16.76787,7.54444,588.663967611336
attock,1996,wheat,17.9,12.61,11.06,14.4,31.0,45.95,43.57,53.05,14.92,5.64,40.07,106.42,1.538567,16.76787,7.54444,414.9797570850202
attock,1997,wheat,16.78,13.34,11.86,13.86,37.96,36.98,43.87,40.83,26.71,2.03,21.24,16.15,1.538567,16.76787,7.54444,693.9271255060728
attock,1998,wheat,16.6,11.6,10.99,13.53,47.97,54.87,48.45,51.27,38.27,0.87,18.35,49.46,1.538567,16.76787,7.54444,618.2186234817814
attock,1999,wheat,20.22,16.15,11.42,15.14,14.25,20.26,57.15,52.91,0.06,16.6,47.94,33.36,1.538567,16.76787,7.54444,594.331983805668
attock,2000,wheat,19.19,15.79,12.58,12.41,30.45,17.6,42.37,44.8,13.18,0.03,34.18,25.39,1.538567,16.76787,7.54444,277.7327935222672
attock,2001,wheat,19.11,14.47,12.05,15.62,20.91,33.96,33.18,24.48,0.82,22.58,0.26,3.88,1.538567,16.76787,7.54444,315.7894736842105
attock,2002,wheat,19.37,15.16,13.61,14.25,31.93,32.36,28.13,35.98,25.18,1.95,3.97,88.9,1.538567,16.76787,7.54444,617.408906882591
attock,2003,wheat,19.91,14.31,12.52,13.82,26.79,37.49,41.04,53.01,2.73,25.86,7.4,88.62,1.538567,16.76787,7.54444,539.6761133603238
attock,2004,wheat,17.7,14.03,11.4,15.76,28.04,42.55,57.84,41.04,6.52,26.99,33.78,18.66,1.538567,16.76787,7.54444,755.4655870445343
attock,2005,wheat,19.46,15.13,10.44,11.26,36.05,40.72,48.37,67.3,7.47,12.49,31.85,120.9,1.538567,16.76787,7.54444,674.8987854251012
attock,2006,wheat,17.89,13.93,10.6,17.48,28.85,25.99,50.2,49.34,16.93,4.77,47.74,109.71,1.538567,16.76787,7.54444,821.4574898785424
attock,2007,wheat,18.05,11.63,11.75,13.31,49.73,53.61,42.47,65.17,35.54,91.94,0.7,172.42,1.538567,16.76787,7.54444,516.5991902834007
attock,2008,wheat,20.03,12.65,9.27,12.94,28.24,42.08,48.98,45.83,15.3,3.88,92.13,20.4,1.538567,16.76787,7.54444,689.8785425101214
attock,2009,wheat,19.83,15.05,12.76,13.95,30.37,41.55,51.78,54.41,13.63,38.46,56.54,68.07,1.538567,16.76787,7.54444,395.5465587044534
attock,2010,wheat,18.48,14.2,13.89,13.84,29.83,32.41,25.28,57.46,10.69,3.73,33.9,130.68,1.538567,16.76787,7.54444,655.8704453441295
attock,2011,wheat,19.72,14.11,11.97,12.14,29.07,25.25,39.2,60.08,0.53,12.28,7.41,121.43,1.538567,16.76787,7.54444,433.1983805668016
attock,2012,wheat,19.62,13.92,10.02,10.4,43.47,27.19,46.02,51.81,18.8,1.55,46.3,58.42,1.538567,16.76787,7.54444,425.10121457489873
attock,2013,wheat,18.32,13.35,10.64,12.91,34.36,42.35,41.71,59.5,9.45,56.41,12.85,152.18,1.538567,16.76787,7.54444,554.6558704453441
attock,2014,wheat,17.99,14.45,12.98,12.87,37.06,29.92,31.58,47.07,18.22,1.8,6.15,48.12,1.538567,16.76787,7.54444,701.6194331983805
attock,2015,wheat,18.23,13.85,12.51,14.71,39.46,30.55,38.92,54.47,10.13,0.0,29.23,73.18,1.538567,16.76787,7.54444,729.5546558704452
attock,2016,wheat,17.12,13.7,12.73,15.64,51.81,45.88,50.33,44.81,37.92,30.53,35.22,60.0,1.538567,16.76787,7.54444,548.5829959514169
attock,2017,wheat,20.08,17.22,10.36,14.86,28.09,25.32,60.18,52.08,0.54,6.34,133.73,40.89,1.538567,16.76787,7.54444,596.7611336032388
attock,2018,wheat,18.38,14.01,12.62,15.1,34.67,37.31,37.81,44.58,17.86,36.72,5.01,45.32,1.538567,16.76787,7.54444,767.2064777327935
attock,2019,wheat,17.79,12.83,9.4,11.6,44.79,42.23,60.99,63.17,38.38,21.17,120.52,108.16,1.538567,16.76787,7.54444,665.5870445344129
attock,2020,wheat,17.31,12.26,9.0,14.04,59.12,46.34,62.84,56.96,78.6,17.48,89.52,417.16,1.538567,16.76787,7.54444,715.3846153846154
attock,2021,wheat,15.58,11.86,11.35,16.17,55.45,59.35,52.62,55.12,121.38,152.62,55.68,292.76,1.538567,16.76787,7.54444,687.0445344129554
attock,2022,wheat,17.72,12.51,10.29,12.62,46.27,49.38,65.47,61.9,1.35,188.72,171.83,62.07,1.538567,16.76787,7.54444,741.2955465587044
attock,2023,wheat,17.45,14.03,9.78,15.23,56.27,52.73,58.59,55.33,101.85,16.45,91.54,36.74,1.538567,16.76787,7.54444,781.3765182186235
attock,2024,wheat,18.76,14.69,12.21,12.89,54.22,46.39,54.32,49.54,76.76,2.82,43.92,72.43,1.538567,16.76787,7.54444,1012.1457489878542
bahawalpur,1981,wheat,19.43,13.58,13.78,18.06,54.34,63.23,49.62,37.58,14.34,34.45,14.18,4.29,0.982217,7.34811,7.71191,948.4240406812912
bahawalpur,1982,wheat,20.11,16.35,14.2,14.57,34.52,30.43,36.03,46.72,17.65,0.0,8.1,37.53,0.982217,7.34811,7.71191,729.5546558704452
bahawalpur,1983,wheat,21.48,15.27,13.39,16.54,28.73,43.57,34.39,33.24,1.0,10.01,3.46,10.38,0.982217,7.34811,7.71191,567.6113360323886
bahawalpur,1984,wheat,20.61,15.07,12.76,14.32,17.84,27.62,28.78,26.47,0.0,0.41,1.96,8.1,0.982217,7.34811,7.71191,649.7975708502024
bahawalpur,1985,wheat,21.03,15.02,13.86,18.46,23.84,26.68,40.88,18.21,1.63,1.83,0.06,0.36,0.982217,7.34811,7.71191,757.48987854251
bahawalpur,1986,wheat,21.78,16.0,12.97,16.33,21.14,31.75,30.37,35.38,0.04,3.88,2.08,5.0,0.982217,7.34811,7.71191,708.0971659919028
bahawalpur,1987,wheat,21.82,14.3,15.07,18.11,22.17,27.08,31.44,29.86,1.88,0.02,1.62,8.31,0.982217,7.34811,7.71191,691.9028340080971
bahawalpur,1988,wheat,22.2,16.13,16.38,18.65,11.63,14.98,32.87,22.58,0.0,0.01,2.68,2.21,0.982217,7.34811,7.71191,797.165991902834
bahawalpur,1989,wheat,22.02,17.24,13.29,16.38,16.94,30.23,35.48,20.99,0.31,2.42,13.22,0.09,0.982217,7.34811,7.71191,719.0283400809716
bahawalpur,1990,wheat,22.07,16.41,16.59,17.68,21.9,35.09,37.27,45.8,0.31,7.76,4.71,24.74,0.982217,7.34811,7.71191,714.574898785425
bahawalpur,1991,wheat,22.52,16.5,14.94,16.56,22.53,27.54,27.39,24.78,0.0,0.38,0.0,1.95,0.982217,7.34811,7.71191,831.1740890688259
bahawalpur,1992,wheat,21.13,17.67,15.08,16.88,19.96,29.58,38.51,39.08,0.05,4.35,17.78,9.54,0.982217,7.34811,7.71191,897.570850202429
bahawalpur,1993,wheat,20.53,17.83,14.05,20.0,27.1,31.7,36.2,23.34,6.48,0.41,8.87,2.56,0.982217,7.34811,7.71191,769.6356275303643
bahawalpur,1994,wheat,22.75,16.85,15.33,16.71,18.17,17.33,28.67,27.92,0.02,0.0,3.84,8.65,0.982217,7.34811,7.71191,844.1295546558704
bahawalpur,1995,wheat,23.15,16.23,13.79,17.28,24.15,29.78,37.29,38.2,0.01,7.12,7.17,52.56,0.982217,7.34811,7.71191,795.5465587044533
bahawalpur,1996,wheat,21.19,16.44,14.07,18.11,19.12,32.09,34.19,34.42,0.01,5.16,6.94,7.4,0.982217,7.34811,7.71191,961.9433198380566
bahawalpur,1997,wheat,20.14,16.06,14.83,17.82,17.42,16.91,24.27,20.4,3.03,0.12,4.8,0.79,0.982217,7.34811,7.71191,887.0445344129554
bahawalpur,1998,wheat,20.36,14.42,13.62,16.62,38.18,45.81,39.64,35.61,15.29,24.0,0.06,13.54,0.982217,7.34811,7.71191,942.5101214574898
bahawalpur,1999,wheat,22.05,18.1,14.35,17.81,15.9,18.04,41.06,44.99,0.0,0.0,18.47,18.77,0.982217,7.34811,7.71191,1152.6315789473683
bahawalpur,2000,wheat,23.08,17.53,15.09,15.5,17.46,17.69,31.92,32.09,0.01,0.0,8.08,2.0,0.982217,7.34811,7.71191,987.4493927125504
bahawalpur,2001,wheat,21.59,16.95,13.58,18.01,19.5,25.24,38.25,21.53,0.23,1.02,23.21,1.83,0.982217,7.34811,7.71191,957.0850202429148
bahawalpur,2002,wheat,22.18,17.2,15.26,17.05,18.18,35.24,25.49,27.01,0.0,13.87,0.0,3.83,0.982217,7.34811,7.71191,1090.6882591093115
bahawalpur,2003,wheat,22.04,17.1,15.08,18.07,26.7,31.35,31.03,36.54,1.02,3.05,3.06,13.08,0.982217,7.34811,7.71191,956.2753036437248
bahawalpur,2004,wheat,19.95,16.21,14.83,19.29,20.18,32.8,42.62,26.77,0.12,0.0,2.94,1.05,0.982217,7.34811,7.71191,1100.0
bahawalpur,2005,wheat,22.41,17.08,12.9,15.49,23.56,30.2,49.17,49.31,0.03,14.66,2.94,20.77,0.982217,7.34811,7.71191,1086.2348178137652
bahawalpur,2006,wheat,20.9,15.39,14.07,21.61,24.59,19.81,27.67,28.17,0.12,0.0,0.94,2.81,0.982217,7.34811,7.71191,1138.0566801619432
bahawalpur,2007,wheat,21.73,14.61,14.27,17.45,36.89,50.99,34.54,53.26,3.8,21.14,0.04,49.49,0.982217,7.34811,7.71191,1043.7246963562752
bahawalpur,2008,wheat,22.64,14.84,12.8,16.05,22.71,33.79,30.32,30.1,0.0,2.35,2.67,12.07,0.982217,7.34811,7.71191,1212.9554655870445
bahawalpur,2009,wheat,21.8,16.88,14.39,17.94,22.48,44.1,54.25,41.28,0.0,41.03,20.64,1.88,0.982217,7.34811,7.71191,1141.7004048582994
bahawalpur,2010,wheat,20.53,16.37,15.3,18.31,24.2,28.31,28.41,26.48,0.88,1.03,0.48,1.49,0.982217,7.34811,7.71191,1271.2550607287449
bahawalpur,2011,wheat,21.7,14.36,13.66,17.04,23.02,24.57,25.99,41.5,0.45,0.9,0.69,12.71,0.982217,7.34811,7.71191,1291.4979757085018
bahawalpur,2012,wheat,23.85,15.38,12.94,14.89,32.66,22.38,31.86,25.04,0.0,0.89,0.3,0.87,0.982217,7.34811,7.71191,1210.5263157894735
bahawalpur,2013,wheat,20.96,15.64,13.65,16.13,26.78,33.68,28.63,53.87,0.0,2.4,0.19,57.01,0.982217,7.34811,7.71191,1222.672064777328
bahawalpur,2014,wheat,21.36,16.07,14.15,16.09,29.16,24.05,33.6,30.89,0.1,0.0,4.06,1.41,0.982217,7.34811,7.71191,1233.6032388663966
bahawalpur,2015,wheat,21.74,15.27,14.0,18.11,24.07,25.76,39.24,40.99,0.09,0.0,1.57,12.11,0.982217,7.34811,7.71191,1311.336032388664
bahawalpur,2016,wheat,20.97,15.9,15.43,18.21,31.98,26.23,31.82,23.17,0.01,0.0,0.58,3.51,0.982217,7.34811,7.71191,1377.327935222672
bahawalpur,2017,wheat,21.91,18.98,13.86,18.71,21.07,24.65,41.57,28.75,0.0,0.0,10.9,4.47,0.982217,7.34811,7.71191,1304.4534412955466
bahawalpur,2018,wheat,20.9,15.73,15.05,19.06,28.59,32.03,26.44,29.28,3.0,11.05,0.0,2.5,0.982217,7.34811,7.71191,1221.0526315789473
bahawalpur,2019,wheat,21.94,15.23,12.99,14.59,24.16,31.77,48.77,48.89,0.0,8.5,19.24,20.92,0.982217,7.34811,7.71191,1340.8906882591093
bahawalpur,2020,wheat,20.56,14.49,12.19,17.53,49.09,41.52,57.1,41.14,16.42,10.98,27.1,4.35,0.982217,7.34811,7.71191,1348.582995951417
bahawalpur,2021,wheat,19.68,14.15,12.92,18.79,37.93,55.63,48.49,38.27,177.32,7.74,4.81,0.0,0.982217,7.34811,7.71191,1439.6761133603238
bahawalpur,2022,wheat,21.64,15.73,13.93,17.69,24.53,29.86,55.02,38.53,0.0,0.7,31.44,0.84,0.982217,7.34811,7.71191,1510.5263157894735
bahawalpur,2023,wheat,22.52,17.31,12.75,20.8,36.06,33.38,32.76,27.19,2.7,1.26,2.83,0.73,0.982217,7.34811,7.71191,1554.655870445344
bahawalpur,2024,wheat,22.0,16.89,14.53,17.11,41.71,34.74,37.96,32.9,0.76,0.0,0.3,7.57,0.982217,7.34811,7.71191,1295.5465587044534
bhakkar,1981,wheat,19.43,13.58,12.65,15.71,54.34,63.23,50.86,45.39,14.34,34.45,27.27,29.69,0.909666,7.03623,7.85192,0.0
bhakkar,1982,wheat,19.33,14.93,12.88,12.95,28.08,33.34,39.66,50.16,4.65,0.45,19.18,39.49,0.909666,7.03623,7.85192,536.8421052631578
bhakkar,1983,wheat,19.39,12.78,11.81,14.76,36.58,50.57,44.93,41.51,8.56,62.18,2.19,5.8,0.909666,7.03623,7.85192,508.90688259109305
bhakkar,1984,wheat,18.94,13.74,11.41,12.88,20.53,32.06,34.57,33.43,0.02,0.62,1.15,8.59,0.909666,7.03623,7.85192,494.7368421052631
bhakkar,1985,wheat,19.13,12.65,12.3,16.55,29.72,34.69,47.9,24.44,13.79,9.16,0.96,3.9,0.909666,7.03623,7.85192,544.5344129554655
bhakkar,1986,wheat,19.84,14.35,12.05,14.69,25.55,39.08,35.54,43.63,0.48,21.39,1.31,21.9,0.909666,7.03623,7.85192,526.3157894736842
bhakkar,1987,wheat,20.11,13.46,13.99,16.78,27.11,35.0,32.54,37.72,9.5,1.66,1.66,33.13,0.909666,7.03623,7.85192,587.8542510121457
bhakkar,1988,wheat,20.77,14.88,14.52,16.95,14.58,17.56,37.32,27.31,0.0,0.11,5.33,2.67,0.909666,7.03623,7.85192,620.6477732793521
bhakkar,1989,wheat,20.23,15.33,11.52,14.2,17.59,35.81,38.68,28.0,0.25,25.57,7.95,0.89,0.909666,7.03623,7.85192,655.8704453441295
bhakkar,1990,wheat,20.2,14.9,14.39,15.26,25.61,43.94,45.88,49.82,1.26,24.53,9.21,44.04,0.909666,7.03623,7.85192,674.0890688259109
bhakkar,1991,wheat,20.79,14.38,12.92,14.87,23.54,37.11,33.27,33.56,0.14,7.05,0.0,8.66,0.909666,7.03623,7.85192,709.3117408906882
bhakkar,1992,wheat,19.83,15.48,13.44,14.67,22.54,38.3,43.95,44.78,1.57,2.81,22.29,35.49,0.909666,7.03623,7.85192,668.825910931174
bhakkar,1993,wheat,18.56,15.64,11.4,18.25,32.88,41.5,42.6,30.63,8.06,4.62,8.48,10.94,0.909666,7.03623,7.85192,671.2550607287449
bhakkar,1994,wheat,20.41,15.16,13.58,14.68,21.78,20.53,30.74,34.84,0.14,0.0,0.91,18.36,0.909666,7.03623,7.85192,720.2429149797571
bhakkar,1995,wheat,21.34,13.93,12.66,16.08,28.32,35.3,38.59,38.43,0.19,10.52,7.86,29.33,0.909666,7.03623,7.85192,704.8582995951416
bhakkar,1996,wheat,19.32,14.39,12.32,16.48,21.99,34.15,37.46,40.64,0.39,1.07,12.88,17.1,0.909666,7.03623,7.85192,721.0526315789473
bhakkar,1997,wheat,18.29,14.17,13.16,15.78,18.65,21.22,28.38,25.43,0.59,0.43,8.53,1.29,0.909666,7.03623,7.85192,878.9473684210526
bhakkar,1998,wheat,19.3,13.06,12.67,15.53,37.77,47.65,36.09,38.53,8.88,9.56,1.72,17.78,0.909666,7.03623,7.85192,794.331983805668
bhakkar,1999,wheat,20.75,16.6,12.9,16.72,15.96,19.37,49.31,48.86,0.01,0.29,56.27,20.08,0.909666,7.03623,7.85192,963.5627530364372
bhakkar,2000,wheat,20.92,16.04,13.36,13.69,21.0,19.3,36.68,39.13,0.47,0.0,29.0,10.16,0.909666,7.03623,7.85192,907.2874493927123
bhakkar,2001,wheat,19.72,15.1,11.97,16.22,20.23,32.35,41.75,26.06,1.62,26.2,15.73,1.04,0.909666,7.03623,7.85192,880.9716599190283
bhakkar,2002,wheat,20.49,15.64,13.72,15.13,23.51,37.03,29.98,35.76,0.43,10.47,0.32,56.72,0.909666,7.03623,7.85192,986.6396761133602
bhakkar,2003,wheat,20.36,15.15,13.16,15.98,31.32,38.7,37.88,45.42,10.67,15.92,3.41,25.86,0.909666,7.03623,7.85192,931.5789473684208
bhakkar,2004,wheat,18.46,14.94,13.13,17.3,23.92,35.11,52.16,35.45,0.85,1.48,18.48,7.57,0.909666,7.03623,7.85192,998.3805668016194
bhakkar,2005,wheat,20.49,15.76,11.98,13.76,30.73,35.54,46.02,52.22,0.93,9.3,16.89,20.14,0.909666,7.03623,7.85192,982.5910931174088
bhakkar,2006,wheat,19.13,13.9,12.15,19.79,27.23,21.31,35.24,36.99,1.08,0.0,3.34,6.59,0.909666,7.03623,7.85192,959.1093117408906
bhakkar,2007,wheat,19.66,13.31,12.74,15.49,47.41,51.08,41.22,61.54,23.98,37.16,4.8,98.01,0.909666,7.03623,7.85192,868.0161943319837
bhakkar,2008,wheat,20.07,13.63,11.07,14.7,30.93,36.99,38.1,31.02,0.78,3.96,13.55,8.84,0.909666,7.03623,7.85192,920.242914979757
bhakkar,2009,wheat,20.16,15.41,13.69,16.54,24.63,38.68,48.55,42.32,0.04,21.41,12.5,19.03,0.909666,7.03623,7.85192,931.174089068826
bhakkar,2010,wheat,18.98,14.79,13.83,16.1,27.35,32.36,33.34,38.45,0.07,1.16,8.81,5.8,0.909666,7.03623,7.85192,987.8542510121456
bhakkar,2011,wheat,19.21,12.84,12.0,14.76,32.25,30.11,33.77,53.36,0.13,0.31,0.46,17.78,0.909666,7.03623,7.85192,902.834008097166
bhakkar,2012,wheat,21.16,13.53,10.93,12.36,40.06,24.08,39.72,36.51,0.74,0.0,2.47,6.16,0.909666,7.03623,7.85192,983.8056680161942
bhakkar,2013,wheat,19.02,14.24,11.99,14.88,34.4,39.75,34.52,54.4,0.09,10.88,0.57,63.91,0.909666,7.03623,7.85192,1016.1943319838056
bhakkar,2014,wheat,19.46,14.7,13.39,14.31,34.11,27.33,31.47,36.63,4.74,0.01,0.52,4.53,0.909666,7.03623,7.85192,901.2145748987854
bhakkar,2015,wheat,19.34,14.13,12.76,16.24,33.05,28.57,39.7,49.79,3.48,0.0,15.7,20.32,0.909666,7.03623,7.85192,900.8097165991902
bhakkar,2016,wheat,19.84,14.78,14.29,17.42,36.57,30.98,38.15,24.97,2.81,0.86,3.35,1.96,0.909666,7.03623,7.85192,1242.914979757085
bhakkar,2017,wheat,20.26,17.4,12.09,16.85,24.92,28.0,50.08,39.18,0.36,0.0,26.03,11.82,0.909666,7.03623,7.85192,943.7246963562752
bhakkar,2018,wheat,19.08,14.7,13.15,16.56,36.09,28.53,30.03,39.2,10.74,4.1,0.05,13.53,0.909666,7.03623,7.85192,891.4979757085019
bhakkar,2019,wheat,20.21,13.69,11.4,13.63,28.87,36.44,53.27,47.96,0.27,9.13,32.51,11.81,0.909666,7.03623,7.85192,970.8502024291496
bhakkar,2020,wheat,19.46,13.9,10.74,16.3,48.47,39.06,57.27,46.72,9.67,4.18,30.01,30.57,0.909666,7.03623,7.85192,1128.3400809716595
bhakkar,2021,wheat,17.13,12.93,11.94,17.77,50.85,55.07,45.08,43.8,57.75,11.29,4.55,3.98,0.909666,7.03623,7.85192,1069.230769230769
